statename,month,year,routed,answered_in_state,abandoned_in_state,asa_in_state,in_state_answer_rate,month_year,AvgTalkTime
AZ,11,2023,6675,5963,538,20S,0.89,Nov 2023,11.85
CA,11,2023,29060,24994,3761,38S,0.86,Nov 2023,12.5666666666667
CO,11,2023,8130,6966,805,15S,0.86,Nov 2023,14.2666666666667
CT,11,2023,3759,3349,300,15S,0.89,Nov 2023,11.4166666666667
DC,11,2023,842,695,92,21S,0.83,Nov 2023,10.6166666666667
DE,11,2023,374,282,33,22S,0.75,Nov 2023,8.78333333333333
FL,11,2023,11671,9038,1731,32S,0.77,Nov 2023,15.2166666666667
GA,11,2023,5743,4898,668,21S,0.85,Nov 2023,11.7166666666667
HI,11,2023,1668,1232,257,20S,0.74,Nov 2023,9.55
IA,11,2023,2083,1790,274,35S,0.86,Nov 2023,12.8666666666667
ID,11,2023,1261,1035,130,22S,0.82,Nov 2023,17.5666666666667
IL,11,2023,13139,10354,1382,32S,0.79,Nov 2023,22.1166666666667
IN,11,2023,4495,4114,317,19S,0.92,Nov 2023,18.4
KS,11,2023,2022,1793,201,20S,0.89,Nov 2023,13.3833333333333
KY,11,2023,2805,2291,397,22S,0.82,Nov 2023,13.7833333333333
LA,11,2023,2674,2319,342,21S,0.87,Nov 2023,15.2333333333333
MA,11,2023,5803,5139,618,30S,0.89,Nov 2023,9.31666666666667
MD,11,2023,4849,4364,458,26S,0.9,Nov 2023,14.9
ME,11,2023,1341,1246,66,16S,0.93,Nov 2023,7.63333333333333
MI,11,2023,7267,6492,695,17S,0.89,Nov 2023,12.3166666666667
MN,11,2023,3964,3522,352,20S,0.89,Nov 2023,14.3
MO,11,2023,5523,5207,292,15S,0.94,Nov 2023,13.2666666666667
MS,11,2023,1138,1111,23,1S,0.98,Nov 2023,8.18333333333333
MT,11,2023,862,828,31,8S,0.96,Nov 2023,12.2333333333333
NC,11,2023,5916,5078,652,18S,0.86,Nov 2023,12.2333333333333
ND,11,2023,637,561,30,10S,0.88,Nov 2023,10.3166666666667
NE,11,2023,1847,1664,113,20S,0.9,Nov 2023,16.4
NH,11,2023,1042,830,118,25S,0.8,Nov 2023,12.1833333333333
NJ,11,2023,6049,4702,835,28S,0.78,Nov 2023,14.25
NM,11,2023,2552,2171,243,18S,0.85,Nov 2023,12.8333333333333
NV,11,2023,3303,2445,392,22S,0.74,Nov 2023,16.0333333333333
NY,11,2023,28682,25515,2512,33S,0.89,Nov 2023,15.4
OH,11,2023,7071,6388,656,24S,0.9,Nov 2023,13.7833333333333
OK,11,2023,4391,3983,361,20S,0.91,Nov 2023,11.3166666666667
OR,11,2023,4577,3495,526,29S,0.76,Nov 2023,15.7666666666667
PA,11,2023,7259,6450,700,22S,0.89,Nov 2023,12.5
RI,11,2023,591,571,10,1S,0.97,Nov 2023,13.7166666666667
SC,11,2023,3050,2215,393,29S,0.73,Nov 2023,17.05
SD,11,2023,840,721,55,12S,0.86,Nov 2023,15.05
TN,11,2023,3909,3417,477,24S,0.87,Nov 2023,12.2333333333333
TX,11,2023,14837,12654,1902,31S,0.85,Nov 2023,14.1
UT,11,2023,2823,2551,154,13S,0.9,Nov 2023,15.5333333333333
VA,11,2023,6236,5601,610,25S,0.9,Nov 2023,12.2
VT,11,2023,813,708,46,13S,0.87,Nov 2023,18.4666666666667
WA,11,2023,6377,5678,498,21S,0.89,Nov 2023,12.4666666666667
WI,11,2023,6588,4900,698,28S,0.74,Nov 2023,16.1833333333333
WV,11,2023,1271,1136,91,16S,0.89,Nov 2023,19.4833333333333
WY,11,2023,492,468,12,7S,0.95,Nov 2023,15.6333333333333
AK,10,2021,618,306,211,27S,0.5,Oct 2021,13.2333333333333
AL,10,2021,2520,1649,701,50S,0.65,Oct 2021,10.7
AR,10,2021,1416,1049,293,32S,0.74,Oct 2021,12
AZ,10,2021,3942,3580,254,17S,0.91,Oct 2021,8.66666666666667
CA,10,2021,24524,20808,3544,45S,0.85,Oct 2021,12.0666666666667
CO,10,2021,4584,2642,1166,49S,0.58,Oct 2021,15.1833333333333
CT,10,2021,1762,981,507,1M 2S,0.56,Oct 2021,13.4
DC,10,2021,598,562,24,16S,0.94,Oct 2021,7.1
DE,10,2021,407,303,72,25S,0.74,Oct 2021,9.56666666666667
FL,10,2021,9308,6963,1828,42S,0.75,Oct 2021,11.7333333333333
GA,10,2021,5053,2824,1497,29S,0.56,Oct 2021,17.9833333333333
HI,10,2021,956,687,159,19S,0.72,Oct 2021,8.93333333333333
IA,10,2021,1342,962,303,54S,0.72,Oct 2021,11.2166666666667
ID,10,2021,1121,919,104,16S,0.82,Oct 2021,16.1666666666667
IL,10,2021,7863,1398,1789,26S,0.18,Oct 2021,14.9
IN,10,2021,3173,2318,460,22S,0.73,Oct 2021,13.3666666666667
KS,10,2021,1566,1254,164,18S,0.8,Oct 2021,14.5333333333333
KY,10,2021,2132,1561,390,28S,0.73,Oct 2021,15.7666666666667
LA,10,2021,2296,762,556,32S,0.33,Oct 2021,15.5333333333333
MA,10,2021,3923,2751,924,55S,0.7,Oct 2021,9.08333333333333
MD,10,2021,3440,2784,639,57S,0.81,Oct 2021,13.25
ME,10,2021,444,371,71,40S,0.84,Oct 2021,10.1666666666667
MI,10,2021,5741,3664,1292,44S,0.64,Oct 2021,11.9666666666667
MN,10,2021,2991,1520,772,36S,0.51,Oct 2021,15.1
MO,10,2021,3112,2402,593,43S,0.77,Oct 2021,14.2833333333333
MS,10,2021,1199,1066,109,17S,0.89,Oct 2021,8.5
MT,10,2021,598,572,26,12S,0.96,Oct 2021,11.0166666666667
NC,10,2021,5115,4443,465,22S,0.87,Oct 2021,7.51666666666667
ND,10,2021,358,317,25,16S,0.89,Oct 2021,14.3
NE,10,2021,1086,773,211,35S,0.71,Oct 2021,12.5333333333333
NH,10,2021,673,522,68,24S,0.78,Oct 2021,10.3666666666667
NJ,10,2021,4179,3273,697,44S,0.78,Oct 2021,13.5333333333333
NM,10,2021,1482,1048,369,59S,0.71,Oct 2021,17.5166666666667
NV,10,2021,1867,1355,407,46S,0.73,Oct 2021,14.1
NY,10,2021,12908,7987,2471,32S,0.62,Oct 2021,15.3166666666667
OH,10,2021,5353,3109,708,19S,0.58,Oct 2021,12.2666666666667
OK,10,2021,1805,1270,399,45S,0.7,Oct 2021,16.4166666666667
OR,10,2021,3599,2562,706,39S,0.71,Oct 2021,17.2833333333333
PA,10,2021,5122,4384,627,31S,0.86,Oct 2021,12.4666666666667
RI,10,2021,358,350,8,7S,0.98,Oct 2021,8.11666666666667
SC,10,2021,2553,2106,304,19S,0.82,Oct 2021,13.6666666666667
SD,10,2021,326,269,50,29S,0.83,Oct 2021,19.9333333333333
TN,10,2021,3033,2328,596,26S,0.77,Oct 2021,8.91666666666667
TX,10,2021,14023,4804,2920,24S,0.34,Oct 2021,13.5166666666667
UT,10,2021,2367,1546,414,27S,0.65,Oct 2021,17.2666666666667
VA,10,2021,4930,3621,1140,1M 9S,0.73,Oct 2021,11.2166666666667
VT,10,2021,372,319,30,19S,0.86,Oct 2021,15.75
WA,10,2021,4563,3405,812,32S,0.75,Oct 2021,10.7833333333333
WI,10,2021,3610,3226,328,23S,0.89,Oct 2021,16.6333333333333
WV,10,2021,1020,894,109,27S,0.88,Oct 2021,13.5666666666667
WY,10,2021,248,110,49,14S,0.44,Oct 2021,11.75
AK,10,2022,848,543,119,18S,0.64,Oct 2022,15.2333333333333
AL,10,2022,2329,1486,447,40S,0.64,Oct 2022,14.15
AR,10,2022,1324,893,196,24S,0.67,Oct 2022,11.1666666666667
AZ,10,2022,4881,4086,714,21S,0.84,Oct 2022,13.1333333333333
CA,10,2022,26894,23591,3118,35S,0.88,Oct 2022,12.4
CO,10,2022,4592,3168,534,24S,0.69,Oct 2022,15.0333333333333
CT,10,2022,2238,2038,132,15S,0.91,Oct 2022,11.3666666666667
DC,10,2022,680,624,38,10S,0.92,Oct 2022,9.18333333333333
DE,10,2022,403,286,44,20S,0.71,Oct 2022,8.25
FL,10,2022,10062,5243,1939,45S,0.52,Oct 2022,13.5833333333333
GA,10,2022,6673,5386,604,17S,0.81,Oct 2022,11.5833333333333
HI,10,2022,1369,1156,114,16S,0.84,Oct 2022,8.61666666666667
IA,10,2022,1776,1611,142,16S,0.91,Oct 2022,10.4833333333333
ID,10,2022,1206,852,202,25S,0.71,Oct 2022,13.2166666666667
IL,10,2022,10967,8737,980,29S,0.8,Oct 2022,19.35
IN,10,2022,3262,2786,193,15S,0.85,Oct 2022,15.8333333333333
KS,10,2022,1697,1495,175,19S,0.88,Oct 2022,15.15
KY,10,2022,2257,1696,289,26S,0.75,Oct 2022,14.6833333333333
LA,10,2022,2475,2105,352,29S,0.85,Oct 2022,13.7
MA,10,2022,5861,4686,1078,34S,0.8,Oct 2022,10.6666666666667
MD,10,2022,3731,3310,410,31S,0.89,Oct 2022,13.9
ME,10,2022,632,527,75,31S,0.83,Oct 2022,10.5833333333333
MI,10,2022,5888,4593,649,28S,0.78,Oct 2022,11.0333333333333
MN,10,2022,3424,2958,373,34S,0.86,Oct 2022,14.3
MO,10,2022,4213,3690,439,27S,0.88,Oct 2022,14.0666666666667
MS,10,2022,1287,1204,74,11S,0.94,Oct 2022,7.66666666666667
MT,10,2022,743,704,38,13S,0.95,Oct 2022,12.9333333333333
NC,10,2022,5393,4162,547,19S,0.77,Oct 2022,11.2333333333333
ND,10,2022,427,383,15,9S,0.9,Oct 2022,11.3833333333333
NE,10,2022,1827,1577,158,35S,0.86,Oct 2022,11
NH,10,2022,970,838,132,32S,0.86,Oct 2022,18.4333333333333
NJ,10,2022,4817,3755,605,27S,0.78,Oct 2022,13.6666666666667
NM,10,2022,1845,1434,267,30S,0.78,Oct 2022,17.0333333333333
NV,10,2022,2480,1713,340,24S,0.69,Oct 2022,18.85
NY,10,2022,15298,11371,1653,25S,0.74,Oct 2022,14.1166666666667
OH,10,2022,6433,5653,507,16S,0.88,Oct 2022,12.5
OK,10,2022,2707,2472,191,20S,0.91,Oct 2022,11.8333333333333
OR,10,2022,4110,3528,286,26S,0.86,Oct 2022,17.5333333333333
PA,10,2022,5852,4813,700,27S,0.82,Oct 2022,12.0833333333333
RI,10,2022,448,436,2,2S,0.97,Oct 2022,15.4833333333333
SC,10,2022,2969,1934,379,21S,0.65,Oct 2022,14.9833333333333
SD,10,2022,461,416,32,13S,0.9,Oct 2022,16.9833333333333
TN,10,2022,3371,2597,713,30S,0.77,Oct 2022,10.5
TX,10,2022,14325,8485,1402,21S,0.59,Oct 2022,12.8666666666667
UT,10,2022,3293,2426,668,15S,0.74,Oct 2022,15.9666666666667
VA,10,2022,5791,5310,461,20S,0.92,Oct 2022,12.8
VT,10,2022,720,605,43,16S,0.84,Oct 2022,15.3833333333333
WA,10,2022,5935,5255,415,22S,0.89,Oct 2022,12.5166666666667
WI,10,2022,6150,4852,539,21S,0.79,Oct 2022,13.8833333333333
WV,10,2022,960,845,47,16S,0.88,Oct 2022,19.1166666666667
WY,10,2022,431,355,46,8S,0.82,Oct 2022,11.4333333333333
AK,10,2023,1093,700,136,23S,0.64,Oct 2023,16.7
AL,10,2023,2749,1960,466,32S,0.71,Oct 2023,12.1833333333333
AR,10,2023,1767,1036,377,23S,0.59,Oct 2023,14.2333333333333
AZ,10,2023,7365,6528,701,19S,0.89,Oct 2023,11.7166666666667
CA,10,2023,30957,26969,3717,35S,0.87,Oct 2023,12.8666666666667
CO,10,2023,8297,7152,766,14S,0.86,Oct 2023,14.5666666666667
CT,10,2023,3715,3288,321,15S,0.89,Oct 2023,11.8
DC,10,2023,957,682,144,25S,0.71,Oct 2023,11.7666666666667
DE,10,2023,412,297,45,20S,0.72,Oct 2023,9.51666666666667
FL,10,2023,12085,9287,1875,35S,0.77,Oct 2023,15.6833333333333
GA,10,2023,6560,5638,759,21S,0.86,Oct 2023,11.6833333333333
HI,10,2023,1947,1656,228,15S,0.85,Oct 2023,7.38333333333333
IA,10,2023,2118,1780,294,38S,0.84,Oct 2023,13.2666666666667
ID,10,2023,1291,1095,103,21S,0.85,Oct 2023,16.05
IL,10,2023,13203,10451,1428,31S,0.79,Oct 2023,21.6666666666667
IN,10,2023,4745,4339,357,19S,0.91,Oct 2023,19.1333333333333
KS,10,2023,2148,1931,188,22S,0.9,Oct 2023,15
KY,10,2023,2891,2355,410,20S,0.81,Oct 2023,12.2833333333333
LA,10,2023,2833,2461,339,24S,0.87,Oct 2023,14.9666666666667
MA,10,2023,6746,5956,727,32S,0.88,Oct 2023,10.1
MD,10,2023,5273,4511,684,32S,0.86,Oct 2023,15.1166666666667
ME,10,2023,941,811,89,21S,0.86,Oct 2023,11.1666666666667
MI,10,2023,8252,7301,809,19S,0.88,Oct 2023,11.9333333333333
MN,10,2023,4298,3863,328,21S,0.9,Oct 2023,14.35
MO,10,2023,5311,4972,316,14S,0.94,Oct 2023,13.7166666666667
MS,10,2023,1162,1125,31,1S,0.97,Oct 2023,7.7
MT,10,2023,842,812,26,9S,0.96,Oct 2023,13.6166666666667
NC,10,2023,6755,5872,704,17S,0.87,Oct 2023,13.2833333333333
ND,10,2023,618,562,31,9S,0.91,Oct 2023,8.95
NE,10,2023,1793,1583,146,20S,0.88,Oct 2023,16.7333333333333
NH,10,2023,1126,901,151,26S,0.8,Oct 2023,12.1666666666667
NJ,10,2023,6241,4962,838,28S,0.8,Oct 2023,13.8666666666667
NM,10,2023,2632,2267,247,19S,0.86,Oct 2023,14.5333333333333
NV,10,2023,3696,2669,443,23S,0.72,Oct 2023,16.5333333333333
NY,10,2023,30798,26572,2850,30S,0.86,Oct 2023,16.3
OH,10,2023,7429,6640,746,28S,0.89,Oct 2023,14.1666666666667
OK,10,2023,4818,4357,395,19S,0.9,Oct 2023,12.15
OR,10,2023,4738,3686,498,29S,0.78,Oct 2023,16.3
PA,10,2023,7561,6696,639,21S,0.89,Oct 2023,12.65
RI,10,2023,705,695,4,1S,0.99,Oct 2023,13.4
SC,10,2023,3314,2409,420,30S,0.73,Oct 2023,15.9166666666667
SD,10,2023,850,724,74,14S,0.85,Oct 2023,17.45
TN,10,2023,3955,3477,452,26S,0.88,Oct 2023,11.5666666666667
TX,10,2023,16008,13833,1979,30S,0.86,Oct 2023,14.5833333333333
UT,10,2023,2934,2687,158,14S,0.92,Oct 2023,15.4666666666667
VA,10,2023,6428,5853,554,22S,0.91,Oct 2023,12.8666666666667
VT,10,2023,723,647,41,12S,0.89,Oct 2023,16.6166666666667
WA,10,2023,6993,6364,526,23S,0.91,Oct 2023,11.85
WI,10,2023,7179,5420,628,25S,0.75,Oct 2023,15.4166666666667
WV,10,2023,1505,1364,74,15S,0.91,Oct 2023,16.9666666666667
WY,10,2023,464,446,11,7S,0.96,Oct 2023,14.6166666666667
AK,9,2021,644,436,154,30S,0.68,Sep 2021,14.6333333333333
AL,9,2021,2363,1492,698,54S,0.63,Sep 2021,11.55
AR,9,2021,1335,951,328,39S,0.71,Sep 2021,11.55
AZ,9,2021,3688,3367,254,17S,0.91,Sep 2021,9.31666666666667
CA,9,2021,24288,20565,3549,41S,0.85,Sep 2021,12.9
CO,9,2021,4095,2398,1060,59S,0.59,Sep 2021,15.5333333333333
CT,9,2021,1617,951,433,1M 1S,0.59,Sep 2021,13.0333333333333
DC,9,2021,583,532,34,17S,0.91,Sep 2021,7.7
DE,9,2021,401,282,85,26S,0.7,Sep 2021,9.76666666666667
FL,9,2021,8691,6741,1636,42S,0.78,Sep 2021,11.6666666666667
GA,9,2021,4731,2955,1255,27S,0.62,Sep 2021,16.3333333333333
HI,9,2021,860,754,67,15S,0.88,Sep 2021,10.4
IA,9,2021,1418,942,381,57S,0.66,Sep 2021,12.1833333333333
ID,9,2021,1035,827,104,17S,0.8,Sep 2021,16.4
IL,9,2021,7461,1180,2176,32S,0.16,Sep 2021,14.45
IN,9,2021,3048,2015,718,19S,0.66,Sep 2021,14.4333333333333
KS,9,2021,1626,1286,174,18S,0.79,Sep 2021,15.4666666666667
KY,9,2021,1921,1534,267,23S,0.8,Sep 2021,14.2333333333333
LA,9,2021,2303,83,668,50S,0.04,Sep 2021,17.9166666666667
MA,9,2021,4152,2633,1152,1M 8S,0.63,Sep 2021,9.58333333333333
MD,9,2021,3122,2577,540,51S,0.83,Sep 2021,13.75
ME,9,2021,442,362,80,43S,0.82,Sep 2021,9.98333333333333
MI,9,2021,5457,3433,1308,45S,0.63,Sep 2021,11.5166666666667
MN,9,2021,2730,1332,729,39S,0.49,Sep 2021,16.35
MO,9,2021,2986,2194,681,50S,0.73,Sep 2021,15
MS,9,2021,1136,1019,90,18S,0.9,Sep 2021,8.31666666666667
MT,9,2021,530,464,59,30S,0.88,Sep 2021,11.8833333333333
NC,9,2021,4880,3003,788,21S,0.62,Sep 2021,6.68333333333333
ND,9,2021,329,281,26,30S,0.85,Sep 2021,12.35
NE,9,2021,1132,781,244,35S,0.69,Sep 2021,12.0166666666667
NH,9,2021,584,429,71,21S,0.73,Sep 2021,10.5333333333333
NJ,9,2021,3875,2972,716,42S,0.77,Sep 2021,13.0166666666667
NM,9,2021,1647,1256,322,1M 1S,0.76,Sep 2021,16.85
NV,9,2021,1737,1091,486,49S,0.63,Sep 2021,13.6833333333333
NY,9,2021,11843,7517,2220,34S,0.63,Sep 2021,15.8666666666667
OH,9,2021,5182,3330,680,19S,0.64,Sep 2021,10.8
OK,9,2021,1876,1350,433,47S,0.72,Sep 2021,14.0666666666667
OR,9,2021,3296,2390,641,38S,0.73,Sep 2021,17.8166666666667
PA,9,2021,5082,4248,711,32S,0.84,Sep 2021,12.0333333333333
RI,9,2021,377,368,8,7S,0.98,Sep 2021,8.7
SC,9,2021,2586,1738,516,31S,0.67,Sep 2021,14.4833333333333
SD,9,2021,337,287,43,29S,0.85,Sep 2021,17.0666666666667
TN,9,2021,2928,2196,579,29S,0.75,Sep 2021,9.23333333333333
TX,9,2021,14206,5301,3456,26S,0.37,Sep 2021,12.9833333333333
UT,9,2021,2245,1350,446,30S,0.6,Sep 2021,17.85
VA,9,2021,4590,3214,1138,1M 10S,0.7,Sep 2021,11.4666666666667
VT,9,2021,289,244,27,22S,0.84,Sep 2021,14.2333333333333
WA,9,2021,4151,3065,783,33S,0.74,Sep 2021,10.7333333333333
WI,9,2021,3501,3256,225,22S,0.93,Sep 2021,14.6333333333333
WV,9,2021,975,866,103,33S,0.89,Sep 2021,12.4666666666667
WY,9,2021,232,103,47,15S,0.44,Sep 2021,12.9666666666667
AK,9,2022,689,499,88,26S,0.74,Sep 2022,12.5166666666667
AL,9,2022,2677,1831,464,43S,0.72,Sep 2022,12.0666666666667
AR,9,2022,1457,1019,205,26S,0.72,Sep 2022,10.5833333333333
AZ,9,2022,5050,4168,319,20S,0.91,Sep 2022,13.4666666666667
CA,9,2022,29582,24960,3088,40S,0.87,Sep 2022,11.45
CO,9,2022,4749,3628,367,19S,0.79,Sep 2022,13.3833333333333
CT,9,2022,2353,2143,121,21S,0.92,Sep 2022,11.3833333333333
DC,9,2022,824,743,24,14S,0.92,Sep 2022,9.2
DE,9,2022,367,274,27,22S,0.79,Sep 2022,6.9
FL,9,2022,11348,5936,1788,43S,0.55,Sep 2022,12.1333333333333
GA,9,2022,6830,5548,574,17S,0.85,Sep 2022,12.0666666666667
HI,9,2022,1742,1177,126,22S,0.72,Sep 2022,5.66666666666667
IA,9,2022,1776,1602,66,20S,0.94,Sep 2022,9.86666666666667
ID,9,2022,1175,928,113,27S,0.82,Sep 2022,12.8
IL,9,2022,12272,9765,1018,29S,0.82,Sep 2022,16.6833333333333
IN,9,2022,3570,2992,193,18S,0.86,Sep 2022,12.35
KS,9,2022,1963,1686,157,23S,0.89,Sep 2022,14.5333333333333
KY,9,2022,2445,1891,202,25S,0.8,Sep 2022,11.85
LA,9,2022,2591,2060,322,29S,0.85,Sep 2022,13.9833333333333
MA,9,2022,4995,3885,771,34S,0.8,Sep 2022,10.9833333333333
MD,9,2022,4056,3469,436,31S,0.88,Sep 2022,13.0666666666667
ME,9,2022,936,752,101,23S,0.84,Sep 2022,9.06666666666667
MI,9,2022,6832,5246,710,27S,0.8,Sep 2022,11.0833333333333
MN,9,2022,3574,3078,264,34S,0.9,Sep 2022,13.5666666666667
MO,9,2022,4359,3876,292,31S,0.91,Sep 2022,13.3333333333333
MS,9,2022,1442,1223,93,17S,0.91,Sep 2022,6.81666666666667
MT,9,2022,702,674,15,13S,0.98,Sep 2022,13.2
NC,9,2022,5601,4494,457,21S,0.83,Sep 2022,9.71666666666667
ND,9,2022,394,358,6,14S,0.93,Sep 2022,10.5666666666667
NE,9,2022,1493,1285,101,24S,0.88,Sep 2022,14.35
NH,9,2022,1035,851,127,34S,0.86,Sep 2022,17.8333333333333
NJ,9,2022,4993,3912,442,28S,0.81,Sep 2022,12.3833333333333
NM,9,2022,2505,2043,247,28S,0.85,Sep 2022,15.2666666666667
NV,9,2022,2445,1731,227,25S,0.75,Sep 2022,16.2666666666667
NY,9,2022,16535,12541,1505,25S,0.78,Sep 2022,12.6
OH,9,2022,6855,5683,442,18S,0.85,Sep 2022,11.3666666666667
OK,9,2022,2996,2697,156,23S,0.93,Sep 2022,10.9833333333333
OR,9,2022,4206,3593,323,28S,0.87,Sep 2022,16.4
PA,9,2022,6281,5283,518,28S,0.86,Sep 2022,11.9833333333333
RI,9,2022,482,473,3,5S,0.99,Sep 2022,9.48333333333333
SC,9,2022,3742,2488,410,22S,0.69,Sep 2022,11.6333333333333
SD,9,2022,532,479,21,16S,0.93,Sep 2022,16.85
TN,9,2022,3866,3108,353,25S,0.88,Sep 2022,9.28333333333333
TX,9,2022,15276,8578,1195,23S,0.58,Sep 2022,12.6666666666667
UT,9,2022,2826,2265,168,17S,0.83,Sep 2022,15
VA,9,2022,6679,5804,541,24S,0.91,Sep 2022,11.4
VT,9,2022,562,471,18,16S,0.89,Sep 2022,13.8166666666667
WA,9,2022,6246,5383,402,23S,0.89,Sep 2022,12.25
WI,9,2022,6076,4554,463,24S,0.77,Sep 2022,14.4666666666667
WV,9,2022,935,791,72,20S,0.88,Sep 2022,17.8333333333333
WY,9,2022,444,386,34,13S,0.88,Sep 2022,9.58333333333333
AK,9,2023,1150,720,114,23S,0.63,Sep 2023,13.7166666666667
AL,9,2023,2697,1858,435,31S,0.69,Sep 2023,12.3666666666667
AR,9,2023,1537,1051,259,24S,0.68,Sep 2023,14.1333333333333
AZ,9,2023,7472,6652,672,19S,0.89,Sep 2023,11.0666666666667
CA,9,2023,31017,27404,3377,31S,0.88,Sep 2023,12.8166666666667
CO,9,2023,7762,6721,730,13S,0.87,Sep 2023,14.7
CT,9,2023,3761,3314,325,15S,0.88,Sep 2023,10.5166666666667
DC,9,2023,989,684,155,31S,0.69,Sep 2023,9.46666666666667
DE,9,2023,450,342,34,20S,0.76,Sep 2023,9.48333333333333
FL,9,2023,12090,8905,2001,36S,0.74,Sep 2023,15.7
GA,9,2023,6713,5766,808,22S,0.86,Sep 2023,11.0833333333333
HI,9,2023,2061,1860,179,13S,0.9,Sep 2023,6.48333333333333
IA,9,2023,2038,1707,294,36S,0.84,Sep 2023,14.05
ID,9,2023,1277,1064,111,24S,0.83,Sep 2023,16.25
IL,9,2023,13057,10365,1437,30S,0.79,Sep 2023,20.65
IN,9,2023,4333,3845,382,21S,0.89,Sep 2023,18.05
KS,9,2023,1953,1720,204,22S,0.88,Sep 2023,13.9833333333333
KY,9,2023,2461,1965,334,18S,0.8,Sep 2023,14.8333333333333
LA,9,2023,2838,2460,347,26S,0.87,Sep 2023,15.1333333333333
MA,9,2023,6281,5369,826,32S,0.85,Sep 2023,9.63333333333333
MD,9,2023,5361,4661,655,28S,0.87,Sep 2023,14.7666666666667
ME,9,2023,835,711,85,22S,0.85,Sep 2023,9.98333333333333
MI,9,2023,8052,6980,883,21S,0.87,Sep 2023,11.5
MN,9,2023,4057,3614,329,20S,0.89,Sep 2023,14
MO,9,2023,5425,5059,325,14S,0.93,Sep 2023,13.0333333333333
MS,9,2023,1262,1223,34,1S,0.97,Sep 2023,8.25
MT,9,2023,770,739,30,8S,0.96,Sep 2023,13.3666666666667
NC,9,2023,6373,5445,705,17S,0.85,Sep 2023,13.3666666666667
ND,9,2023,593,511,30,10S,0.86,Sep 2023,9.61666666666667
NE,9,2023,1754,1531,111,20S,0.87,Sep 2023,17.7
NH,9,2023,1018,863,79,24S,0.85,Sep 2023,12.85
NJ,9,2023,5907,4734,784,28S,0.8,Sep 2023,13.9666666666667
NM,9,2023,2661,2374,188,15S,0.89,Sep 2023,14.3833333333333
NV,9,2023,3360,2268,434,25S,0.68,Sep 2023,19.4333333333333
NY,9,2023,28557,24638,2433,26S,0.86,Sep 2023,16.65
OH,9,2023,7105,6265,805,27S,0.88,Sep 2023,14.0833333333333
OK,9,2023,4453,4024,363,20S,0.9,Sep 2023,11.7
OR,9,2023,4829,4164,417,27S,0.86,Sep 2023,14.6333333333333
PA,9,2023,7482,6413,858,24S,0.86,Sep 2023,12.35
RI,9,2023,672,662,6,1S,0.99,Sep 2023,13.65
SC,9,2023,3564,2568,412,32S,0.72,Sep 2023,15.7833333333333
SD,9,2023,913,751,78,13S,0.82,Sep 2023,15.6833333333333
TN,9,2023,3785,3316,450,24S,0.88,Sep 2023,11.3166666666667
TX,9,2023,15034,12911,1875,29S,0.86,Sep 2023,15.4666666666667
UT,9,2023,2861,2542,186,14S,0.89,Sep 2023,15.0666666666667
VA,9,2023,5941,5343,574,25S,0.9,Sep 2023,12.1
VT,9,2023,743,593,53,15S,0.8,Sep 2023,18.8166666666667
WA,9,2023,6894,6199,518,22S,0.9,Sep 2023,11.65
WI,9,2023,6899,5143,689,25S,0.75,Sep 2023,15.3
WV,9,2023,1348,1204,93,16S,0.89,Sep 2023,18.4833333333333
WY,9,2023,507,478,13,6S,0.94,Sep 2023,17
