Year,Deaths,Population,"Crude Rate Per 100,000"
1999,29180,279040168,10.5
2000,29319,281421906,10.4
2001,30545,284968955,10.7
2002,31595,287625193,11
2003,31422,290107933,10.8
2004,32363,292805298,11.1
2005,32559,295516599,11.1
2006,33200,298379912,11.1
2007,34529,301231207,11.5
2008,35969,304093966,11.8
2009,36837,306771529,12
2010,38307,308745538,12.4
2011,39442,311591917,12.7
2012,40531,313914040,12.9
2013,41060,316128839,13
2014,42756,318857056,13.4
2015,44145,321418820,13.7
2016,44876,323127513,13.9
Total,648635,5435746389,11.9